#{"t_start": 1786754468.8206692, "env_id": "None"}
r,l,t
-70.921397,100,38.333543
-56.027482,100,38.368077
-52.794163,100,38.399449
-68.734353,100,38.430552
-48.362166,100,39.034514
-59.40364,100,39.069457
-91.410638,100,39.104643
-65.921574,100,39.138646
-50.377685,100,39.166918
-55.791345,100,39.205783
-64.830832,100,39.236047
-82.80525,100,39.268978
-63.571525,100,39.299238
-63.367975,100,39.326762
-51.602429,100,39.361315
-80.092812,100,39.395422
-60.752899,100,39.423681
-52.514367,100,39.454032
-56.425023,100,39.479051
-79.42807,100,39.514032
-50.485775,100,39.541723
-81.596153,100,39.576381
-54.957636,100,39.611269
-59.253063,100,39.646427
-78.340217,100,39.67364
-51.719812,100,40.29163
-30.673815,44,40.309932
-63.530206,100,40.340352
-52.434363,100,40.374909
-59.124659,100,40.409605
-70.327363,100,40.4488
-69.038475,100,40.484626
-58.028239,100,40.513883
-64.46427,100,40.541782
-92.213663,100,40.57636
-56.558619,100,40.60883
-50.048759,100,40.639006
-54.868785,100,40.666764
-79.762156,100,40.701998
-75.993968,100,40.729063
-51.67158,100,40.761699
-61.821485,100,40.791994
-70.952588,100,40.82636
-57.159961,100,40.858852
-63.004603,100,40.88199
-78.704314,100,40.923253
-56.918289,100,41.588074
-53.074451,100,41.624345
-59.237415,100,41.659533
-75.738574,100,41.691453
-20.700248,38,41.705793
-59.666601,100,41.735934
-95.494287,100,41.770773
-54.010579,100,41.806036
-56.994832,100,41.833374
-62.863628,100,41.868357
-59.265118,100,41.900915
-54.826301,100,41.930666
-51.354972,100,41.965499
-66.517527,100,41.997963
-55.372885,100,42.030725
-70.13595,100,42.063437
-86.782262,100,42.096784
-66.530756,100,42.131951
-53.58295,100,42.167253
-67.921279,100,42.198975
-73.256635,100,42.229274
-46.745752,100,42.874029
-64.258037,100,42.911974
-86.459783,100,42.947811
-59.777332,100,42.983963
-45.227065,100,43.01965
-62.373016,100,43.053046
-54.395272,100,43.084228
-55.186935,100,43.11508
-69.917201,100,43.147822
-82.553665,100,43.173666
-92.668301,100,43.208412
-53.815414,100,43.243033
-71.712782,100,43.270946
-54.866008,100,43.307106
-58.069801,100,43.340323
-86.369059,100,43.368192
-55.9381,100,43.405297
-59.440131,100,43.437383
-89.029205,100,43.465337
-55.29565,100,43.50257
-49.498371,100,44.104496
-58.534838,100,44.138037
-56.65364,100,44.166751
-62.732733,100,44.205742
-64.783837,100,44.23997
-24.149259,38,44.254333
-53.644696,100,44.288849
-43.123151,100,44.319606
-56.219978,100,44.351684
-67.968634,100,44.381956
-71.958628,100,44.41621
-81.059342,100,44.448113
-18.942784,29,44.457849
-51.204122,100,44.486088
-79.791123,100,44.520854
-68.446745,100,44.554013
-13.481673,26,44.562627
-65.90187,100,44.596719
-92.08495,100,44.627142
-46.494911,100,44.659609
-52.56518,100,44.687574
-76.331305,100,44.722167
-54.408255,100,44.758451
-60.157895,100,45.361011
-71.002459,100,45.397284
-46.296359,100,45.432962
-4.434611,20,45.439713
-84.676477,100,45.475556
-96.677587,100,45.511283
-99.460453,100,45.543567
-50.024494,100,45.569154
-62.124796,100,45.607582
-97.775083,100,45.638236
-65.854171,100,45.66658
-55.649133,100,45.706742
-48.738967,100,45.753418
-50.772996,100,45.791507
-64.899699,100,45.826345
-83.854034,100,45.861336
-49.17687,100,45.900413
-66.941958,100,45.936952
-50.273508,100,45.973119
-99.78621,100,46.009579
-50.192537,100,46.042977
-48.602898,100,46.736004
-49.730836,100,46.776453
-77.820707,100,46.80989
-61.902638,100,46.842144
-73.101086,100,46.875036
-97.245508,100,46.909555
-53.445325,100,46.945796
-46.70857,100,46.971903
-72.797552,100,47.007092
-72.643649,100,47.037087
-49.796174,100,47.067027
-76.930344,100,47.097883
-41.525577,100,47.130895
-55.868899,100,47.164667
-60.726594,100,47.196956
-46.027301,100,47.222257
-57.73779,100,47.259398
-76.140086,100,47.291172
-56.908317,100,47.319496
-49.450272,100,47.354593
-56.630393,100,47.382096
-58.055402,100,47.979829
-81.283494,100,48.014781
-77.083736,100,48.047869
-53.047693,100,48.081383
-74.846393,100,48.11813
-58.606481,100,48.155146
-80.996714,100,48.180334
-57.299378,100,48.214971
-86.163203,100,48.24288
-54.720879,100,48.271079
-73.696612,100,48.308096
-67.064666,100,48.340171
-53.751652,100,48.368036
-41.968426,100,48.407339
-77.504751,100,48.437754
-64.110585,100,48.472007
-55.791148,100,48.504439
-52.942435,100,48.534657
-51.580941,100,48.570034
-89.904444,100,48.602647
-10.92529,33,48.61139
-53.463943,100,49.249151
-51.515089,100,49.284746
-41.030547,100,49.319366
